"Chicago, IL",41.878114,-87.629798
"Atlanta, GA",33.748995,-84.387982
"Phoenix, AZ",33.448377,-112.074037
"Naples, FL",26.142036,-81.79481
"Alpharetta, GA",34.075376,-84.29409
"Los Angeles, CA",34.052234,-118.243685
"Scottsdale, AZ",33.49417,-111.926052
"Bradenton, FL",27.498928,-82.574819
"Miami, FL",25.76168,-80.19179
"Las Vegas, NV",36.169941,-115.13983
"Stockbridge, GA",33.544278,-84.233809
"Baltimore, MD",39.290385,-76.612189
"Sarasota, FL",27.336435,-82.530653
"Henderson, NV",36.039525,-114.981721
"Tampa, FL",27.950575,-82.457178
"Milwaukee, WI",43.038902,-87.906474
"Woodstock, GA",34.101487,-84.519375
"Birmingham, AL",33.520661,-86.80249
"Asheville, NC",35.595058,-82.551487
"Forest Lake, MN",45.278856,-92.985218
"Duluth, GA",34.002879,-84.144638
"Fort Lauderdale, FL",26.122439,-80.137317
"McDonough, GA",33.447336,-84.146862
"Greeley, CO",40.423314,-104.709132
"Olathe, KS",38.881396,-94.819128
"San Francisco, CA",37.774929,-122.419416
"Tacoma, WA",47.252877,-122.444291
"St. Louis, MO",38.627003,-90.199404
"Valdosta, GA",30.832702,-83.278485
"La Jolla, CA",32.832811,-117.271272
"Coral Gables, FL",25.72149,-80.268384
"Kansas City, MO",39.099727,-94.578567
"Houston, TX",29.760427,-95.369803
"Winder, GA",33.99261,-83.720171
"Crestview, FL",30.754181,-86.572799
"Ocala, FL",29.187199,-82.140092
"Farmington Hills, MI",42.498994,-83.367717
"Pittsburgh, PA",40.440625,-79.995886
"Gray, GA",33.00958,-83.533782
"Denver, CO",39.739236,-104.990251
"Charleston, SC",32.776475,-79.931051
"Orlando, FL",28.538335,-81.379236
"Newnan, GA",33.380672,-84.799657
"Reno, NV",39.529633,-119.813803
"San Juan, PR",18.465539,-66.105735
"Cartersville, GA",34.165097,-84.799938
"Wilmington, NC",34.225726,-77.94471
"Boca Raton, FL",26.368306,-80.128932
"Douglasville, GA",33.751497,-84.747714
"Newport Beach, CA",33.618883,-117.929849
"Mesa, AZ",33.415184,-111.831472
